T,V,
-0.1748,-0.014,0
-0.1746,0.022,0
-0.1744,0.004,0
-0.1742,0,0
-0.174,-0.01,0
-0.1738,-0.01,0
-0.1736,0.004,0
-0.1734,0.018,0
-0.1732,-0.004,0
-0.173,-0.018,0
-0.1728,-0.008,0
-0.1726,-0.002,0
-0.1724,0.004,0
-0.1722,0.002,0
-0.172,0.03,0
-0.1718,-0.012,0
-0.1716,-0.018,0
-0.1714,-0.006,0
-0.1712,0.01,0
-0.171,-0.004,0
-0.1708,0.002,0
-0.1706,-0.016,0
-0.1704,-0.028,0
-0.1702,0.032,0
-0.17,-0.008,0
-0.1698,0.012,0.2
-0.1696,0.002,0
-0.1694,-0.016,0
-0.1692,0.02,0
-0.169,-0.022,0
-0.1688,0.028,0
-0.1686,-0.006,0
-0.1684,-0.016,0
-0.1682,0.01,0
-0.168,-0.01,0
-0.1678,0.002,0
-0.1676,-0.024,0
-0.1674,0.006,0
-0.1672,-0.014,0
-0.167,-0.016,0.2
-0.1668,-0.006,0
-0.1666,0.01,0
-0.1664,-0.004,0.2
-0.1662,0.006,0
-0.166,0.022,0.2
-0.1658,0.01,0
-0.1656,-0.02,0
-0.1654,0.008,0
-0.1652,0.01,0
-0.165,0.022,0
-0.1648,0.008,0
-0.1646,0.024,0
-0.1644,0.004,0
-0.1642,0.016,0
-0.164,0.01,0
-0.1638,0.016,0
-0.1636,-0.006,0
-0.1634,0.004,0
-0.1632,-0.012,0
-0.163,0.008,0
-0.1628,-0.002,0
-0.1626,-0.012,0
-0.1624,0.004,0
-0.1622,-0.006,0
-0.162,0.002,0
-0.1618,-0.006,0
-0.1616,0.004,0
-0.1614,0.006,0
-0.1612,-0.002,0
-0.161,0.02,0
-0.1608,0,0
-0.1606,0.002,0
-0.1604,-0.004,0
-0.1602,0,0
-0.16,0.026,0
-0.1598,-0.032,0
-0.1596,0.004,0
-0.1594,-0.006,0
-0.1592,0.002,0
-0.159,0.004,0
-0.1588,0.008,0.2
-0.1586,-0.004,0
-0.1584,-0.018,0
-0.1582,0.002,0
-0.158,-0.002,0
-0.1578,-0.01,0
-0.1576,-0.004,0
-0.1574,0.008,0
-0.1572,-0.002,0
-0.157,-0.004,0
-0.1568,-0.008,0
-0.1566,-0.012,0
-0.1564,-0.004,0
-0.1562,-0.012,0
-0.156,0.008,0
-0.1558,-0.006,0
-0.1556,-0.008,0
-0.1554,-0.012,0
-0.1552,0.002,0
-0.155,-0.01,0
-0.1548,0.026,0
-0.1546,-0.004,0
-0.1544,-0.004,0
-0.1542,0.004,0
-0.154,-0.012,0.2
-0.1538,0,0
-0.1536,-0.002,0
-0.1534,-0.004,0
-0.1532,0.006,0
-0.153,0.01,0
-0.1528,0.004,0
-0.1526,-0.002,0
-0.1524,0.004,0
-0.1522,-0.018,0
-0.152,-0.002,0
-0.1518,-0.002,0
-0.1516,0.01,0
-0.1514,0.004,0
-0.1512,0.008,0
-0.151,-0.032,0
-0.1508,0.014,0
-0.1506,0.012,0
-0.1504,0.002,-0.2
-0.1502,0.022,0.2
-0.15,-0.006,0
-0.1498,0.034,0
-0.1496,-0.01,0
-0.1494,0,0.2
-0.1492,-0.024,0
-0.149,-0.002,0
-0.1488,-0.006,0
-0.1486,0.012,0
-0.1484,0.012,0
-0.1482,0.002,0
-0.148,-0.014,0
-0.1478,0.006,0
-0.1476,0.004,0
-0.1474,0.03,0
-0.1472,0.012,0.2
-0.147,-0.014,0
-0.1468,0.006,0
-0.1466,0.024,0
-0.1464,0.006,0
-0.1462,0.01,0
-0.146,0.008,0
-0.1458,-0.006,0
-0.1456,-0.024,0
-0.1454,-0.032,0
-0.1452,-0.004,0
-0.145,0.024,0.2
-0.1448,-0.004,0
-0.1446,-0.002,0
-0.1444,-0.006,0
-0.1442,-0.016,-0.2
-0.144,0,0
-0.1438,-0.006,0
-0.1436,0.004,0
-0.1434,0.01,0
-0.1432,-0.016,0
-0.143,0,0.2
-0.1428,0.002,0
-0.1426,-0.004,0
-0.1424,-0.01,0
-0.1422,0.004,0
-0.142,-0.006,0
-0.1418,0.004,0
-0.1416,0.006,0
-0.1414,0.036,0
-0.1412,0,0
-0.141,-0.02,0
-0.1408,0.022,0
-0.1406,-0.022,0
-0.1404,0.004,0
-0.1402,-0.012,0
-0.14,0,0
-0.1398,-0.002,0
-0.1396,0.008,0
-0.1394,-0.002,0
-0.1392,-0.018,0
-0.139,0.022,0
-0.1388,-0.036,0
-0.1386,0.008,0
-0.1384,-0.026,0.2
-0.1382,0.01,0
-0.138,0.014,0
-0.1378,0.024,0
-0.1376,0.008,0.2
-0.1374,0,0
-0.1372,-0.004,0
-0.137,-0.024,0.2
-0.1368,0.004,0
-0.1366,0.012,0
-0.1364,-0.004,0
-0.1362,0.008,0
-0.136,0.006,0.2
-0.1358,0.004,0
-0.1356,0,0
-0.1354,-0.006,0
-0.1352,0.018,0
-0.135,0.02,0
-0.1348,-0.01,0
-0.1346,0.008,0
-0.1344,0.012,0
-0.1342,0.01,0
-0.134,0.024,0
-0.1338,0.004,0
-0.1336,-0.012,0
-0.1334,-0.012,0
-0.1332,-0.026,0.2
-0.133,0,0
-0.1328,0.004,0
-0.1326,0,0
-0.1324,-0.006,0
-0.1322,0.024,0
-0.132,0.002,0
-0.1318,0.01,0
-0.1316,-0.002,0
-0.1314,-0.01,0
-0.1312,0.002,0
-0.131,0.026,0
-0.1308,-0.004,0
-0.1306,0.004,0
-0.1304,0.022,0
-0.1302,0.012,0
-0.13,0.01,0
-0.1298,0.026,0
-0.1296,0.016,0
-0.1294,0.012,0
-0.1292,0.028,0
-0.129,-0.002,0
-0.1288,0.01,0
-0.1286,-0.018,0.2
-0.1284,-0.014,0
-0.1282,-0.024,0.2
-0.128,0.014,0.2
-0.1278,0,0
-0.1276,0.014,0
-0.1274,-0.016,0
-0.1272,-0.008,0
-0.127,0.004,0
-0.1268,-0.002,0
-0.1266,0.01,0.2
-0.1264,0.006,0
-0.1262,-0.02,0
-0.126,-0.01,0
-0.1258,-0.008,0
-0.1256,-0.006,0
-0.1254,-0.018,0
